temperature_c,marketing_spend_k,discount_pct,demand_index
14.3263,6.6664,3.8866,82.1204
21.7087,5.0494,24.4511,82.363
24.5105,9.5944,3.5277,83.9586
14.6624,10.5445,15.4812,88.4467
19.573,2.5628,1.0565,78.1604
26.9574,2.0676,16.5024,70.7639
31.2754,1.8017,25.3986,65.7668
8.5319,11.7654,2.532,81.5203
32.0026,11.3283,8.2277,75.4762
4.1554,3.1527,22.9408,66.9328
26.5893,11.6539,18.2429,83.2588
28.3158,2.8899,9.3839,74.5573
8.1029,6.3245,18.8671,75.0483
16.5671,6.2199,13.6413,85.4096
28.4577,11.022,25.8707,79.0927
4.4281,0.9661,8.7882,62.7425
22.8539,4.1265,22.7319,79.7578
27.7907,7.3997,19.0702,78.8532
19.3901,1.2636,22.2129,76.5921
25.7755,3.2203,11.3478,76.3078
10.7927,5.8482,21.7476,79.301
9.9556,10.6299,20.9528,80.2999
14.8938,9.251,11.6247,86.8558
9.3822,10.0333,0.7936,78.7514
14.3818,9.2523,28.8874,82.282
32.4437,8.6388,21.408,72.106
21.2,10.2715,6.1422,87.4821
14.202,8.337,21.9242,83.6334
12.1457,8.9604,8.3605,83.6483
32.5612,3.9689,14.0786,66.3672
17.3343,2.4279,25.7966,80.95
33.4118,9.2,13.4422,76.1334
19.4657,2.4071,8.6402,83.0098
19.635,11.0737,9.1647,88.141
30.8962,7.3614,2.3105,71.836
26.283,4.2885,6.5852,75.9711
21.4196,11.2714,8.1332,87.6164
16.7995,2.284,5.1891,80.7567
30.3456,6.4164,1.892,68.0432
16.3494,1.5529,13.9737,80.0579
31.6828,11.6024,6.4319,74.0693
6.0615,7.1168,22.1631,76.2736
16.8999,9.7422,27.6758,86.51
19.5854,3.7421,8.1895,80.5827
32.5281,9.7207,17.1674,74.1165
11.53,8.5827,15.2018,84.6375
28.1812,7.9023,2.2533,74.93
24.2941,11.4315,3.7462,84.0252
25.5126,5.4852,26.5434,77.0225
22.8887,5.2735,14.2246,78.9785
33.1468,8.4594,24.1383,72.4564
13.9804,10.1031,1.9974,84.6845
15.9483,4.3534,17.8444,83.5447
10.0874,8.2011,25.9594,79.5765
5.5211,2.9039,26.012,68.6675
10.3872,6.8445,0.1717,75.1518
31.4639,9.3455,15.6516,73.5356
29.2051,1.2511,11.0701,66.4302
7.3722,8.8702,22.8013,78.9985
22.1134,0.6775,2.1966,68.2881
18.3759,11.521,7.9478,90.6876
21.8405,5.8897,24.3793,81.9216
23.7783,5.2043,14.0867,79.7263
13.1998,8.7851,13.5945,87.481
32.8405,6.5179,29.0568,67.6382
17.9752,8.9048,9.5967,85.2429
22.843,1.4747,1.2517,71.6182
23.0568,6.9721,11.766,85.4261
9.5167,6.9182,4.6012,78.995
5.856,11.2193,2.4568,73.0343
16.3455,0.9555,17.0358,77.1537
26.9209,5.7074,28.6073,76.57
28.4567,7.7573,17.3822,76.6835
25.8997,6.8336,19.4134,81.0808
7.3961,1.3529,9.7089,66.9883
31.4006,7.3221,17.1337,72.3698
28.0611,3.0553,22.5673,71.4102
30.3307,2.7488,17.6785,69.24
19.6991,10.6049,24.0834,87.9908
31.4691,2.7752,16.5141,66.7129
5.3996,5.7243,5.9443,69.7277
4.9087,9.1283,17.4818,76.3887
4.6065,8.6341,14.7281,74.121
11.5831,6.8648,4.9781,81.3582
11.4571,9.781,18.575,86.0684
9.6251,5.8569,24.5088,78.2311
21.0117,7.6344,4.0526,87.6369
5.1696,9.9175,16.3484,73.9935
21.7116,8.2981,22.0106,87.1833
8.9803,7.881,12.0905,78.5552
24.3362,5.1705,8.1014,82.9947
4.6323,6.9207,11.1684,74.9048
13.3171,5.055,16.251,78.8889
32.1502,9.0594,20.5998,71.6649
20.1519,4.8749,16.7753,85.2678
28.3476,5.8661,3.2108,74.612
23.7408,9.1878,24.5366,85.1586
22.3225,6.292,27.7158,81.6965
9.7376,4.3874,3.0388,74.6678
21.2318,10.0084,7.4856,87.7256
5.1906,4.8811,5.2104,68.8238
28.0499,10.2144,25.4747,80.3019
32.8021,9.5303,27.3084,67.124
29.6203,5.6438,1.3282,71.3281
5.5213,8.6982,9.9726,72.6041
14.1598,0.8955,5.7748,74.5697
13.5401,4.9827,14.086,81.8834
7.3815,10.3938,27.6477,74.8945
22.7984,7.1647,2.1052,81.7055
27.9237,6.915,5.1384,74.1622
13.4116,8.1445,14.6109,83.5988
29.8843,8.2932,15.721,73.4885
27.9138,7.2114,22.365,77.401
7.8741,5.3372,13.1306,76.0981
27.0058,2.6101,4.2341,72.9095
30.4786,3.8654,10.6084,70.003
9.9185,3.8686,29.4628,75.0878
21.2092,5.4536,22.5217,83.5221
23.1625,11.9892,3.4903,84.4689
22.28,4.5543,24.2463,82.1559
6.8874,5.6449,9.3278,75.2819
23.8357,4.7737,23.4419,79.5563
22.9586,7.1864,0.3816,79.5975
28.7166,11.4008,26.1381,77.7806
28.1054,10.7243,4.8693,78.23
13.815,4.8371,13.6725,80.7939
25.6614,3.5694,19.8527,78.7158
30.0182,10.6706,15.2361,76.8654
30.7884,6.1791,4.9619,71.6341
8.8454,8.3837,4.1736,75.6087
4.8011,1.3429,8.536,63.72
23.5242,10.4654,1.5718,83.1063
10.4403,4.0991,6.4963,75.1799
20.9113,6.1871,3.9032,85.9226
32.3441,2.7772,13.9439,67.1287
15.3796,5.3328,10.6953,86.6986
11.5832,10.0226,17.605,86.038
17.6953,10.0172,8.4264,86.7498
23.7173,5.9472,1.0173,77.7795
7.033,9.331,9.9333,77.6645
15.4175,5.7678,22.6554,84.0271
8.0116,4.7936,7.6751,73.7896
23.8734,6.7777,12.1365,82.3768
28.9166,2.8154,22.6492,67.4772
15.3056,4.1405,12.2004,82.0409
15.1517,8.6251,26.6137,81.2341
20.1856,9.3609,27.5421,86.3832
10.4517,1.1521,9.3159,69.471
11.4223,8.9275,22.0789,81.656
13.8956,9.9004,7.5935,85.198
17.7228,5.6197,4.1857,83.2796
6.4459,1.2182,13.1364,63.4057
26.582,8.3535,18.0742,77.9317
21.3716,3.3309,28.0677,76.9453
12.9908,7.8986,4.377,78.6225
